阿拉上海人,$50,6/19/2010,dead,,
完整修车厂,$50,6/26/2010,$60,3/26/2011,6 months
丰泽园,$50,6/26/2010,dead,,
玉佛寺,免费,,,,
欢乐小栈,$50,7/10/2010,(dead) $50,,
专业房屋检验公司,$50,7/10/2010,dead (50),,
专业地产经纪,$120,7/17/2010,$120,12/18/2011,12 month (2011)
天上人间 KTV,$150,7/17/2010,(+ 超大包K歌一下午),,
友家饭店,0,7/17/2010,老乡，请我吃过饭，宋海燕南京演出过来,,
中国城最优惠电脑,,11/26/2010,dead $20,3/26/2011,3 months
镒丰车行,$200,12/1/2010,11/18 - 03/18,,
镒丰车行,$300,6/6/2011,03/18 - 09/18,,
镒丰车行,$200,9/21/2011,09/18 - 01/18,,
安稳保险,$20,7/14/2011,till the end of this year,,
天上人间,$230,8/3/2011,(+ 超大包加一个小包K歌一下午),,
天上人间,$100,8/13/2011,picture $50 + August $50,,
天上人间,$100,9/25/2011,"Sep. and Oct. the second day of Eva and one month of Tony",,
金润律师事务所,$60,9/27/2010,six months,3/7/2012,
百利旅行社,$100,10/23/2011,12 months,8/8/2012,
天上人间,$100,11/13/2011,2 months,12/30/2011,
百利驾校,$30,12/3/2011,2 months,1/31/2012,
完整修车厂,$120,12/17/2011,12 months,12/20/2012,
天上人间,$100,1/13/2012,2 months,2/28/2012,
安稳保险,$120,1/15/2012,12 months,12/31/2012,
百利驾校,$150,1/20/2012,11 month,12/31/2012,
天上人间,$100,3/10/2012,2 months,4/30/2012,
金润律师事务所,$180,4/9/2012,9 months,12/31/2012,
Duncan lawfirm,$120,4/18/2012,3 month,3/31/2012,
Duncan lawfirm,$120,4/20/2012,3 month,6/30/2012,
Duncan lawfirm,$500,5/3/2012,Website attorney-duncan.com,,
天上人间,$100,4/29/2012,2 months,6/30/2012,
天上人间,$100,7/14/2012,2 months,8/31/2012,
ZQGame,$400,5/10/2012,3 months,8/9/2012,
天上人间,$100,9/1/2012,2 months,10/31/2012,
百利旅行社,$360,11/7/2012,15 months,12/31/2013,
天上人间,$100,11/10/2012,2 months,12/31/2012,
完整修车厂,$300,12/26/2012,12 months,12/20/2013,
天上人间,$100,1/4/2013,2 months,2/28/2013,
金润律师事务所,$360,1/8/2013,14 months,2/28/2014,
安稳保险,$306,1/17/2013,12 months,12/31/2013,
好运来 搬家 接送,$120,1/24/2013,3 months,4/24/2013,
苏丝黄情调餐厅,$120,2/17/2013,3 months,5/16/2013,
晨曦宝宝月子中心,$120,2/24/2013,3 months,5/23/2013,
上海装修 (SH Home Remodeling),$195,4/2/2013,6 months,10/1/2013,
好运来 搬家 接送,$240,4/24/2013,8 months,12/31/2013,
YesGG,$400,4/27/2013,3 months,7/27/2013,
MT驾驶学校,$360,5/4/2013,12 months,5/4/2014,
子林美艺,$120,5/28/2013,3 months (start from 6/10/2013),9/10/2013,
东北人,$210,6/17/2013,6 months,12/17/2013,
Jessie Jia Photography,$120,6/27/2013,3 months,9/26/2013,
顶鑫国际旅行社,$400,8/31/2013,3 months,11/30/2013,
乐游乐学美国,$120,8/31/2013,3 months,11/30/2013,
子林美艺,$120,9/14/2013,3 months (start from 6/10/2013),12/14/2013,
